Bezeichnung,Eindeutige Downloads,Eindeutige Besucher,Downloads,Von Besuchern verbrachte Gesamtzeit (in Sekunden),Metadaten: url,Metadaten: Actions_DownloadUrl,Metadaten: segment
www.wahlen.zh.ch/wahlen2019/intern/data/krw/kandidatengde.json,3,1,31,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/krw/kandidatengde.json,www.wahlen.zh.ch/wahlen2019/intern/data/krw/kandidatengde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Fkrw%2Fkandidatengde.json
www.wahlen.zh.ch/wahlen2019/intern/data/rrw/gemeinden.json,3,1,191,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/rrw/gemeinden.json,www.wahlen.zh.ch/wahlen2019/intern/data/rrw/gemeinden.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Frrw%2Fgemeinden.json
www.wahlen.zh.ch/wahlen2019/intern/data/rrw/wahlbeteiligung.json,3,1,37,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/rrw/wahlbeteiligung.json,www.wahlen.zh.ch/wahlen2019/intern/data/rrw/wahlbeteiligung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Frrw%2Fwahlbeteiligung.json
www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidaten.json,3,1,780,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidaten.json,www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidaten.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Fkrw%2Fkandidaten.json
www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidatengde.json,3,1,79,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidatengde.json,www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidatengde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Fkrw%2Fkandidatengde.json
www.wahlen.zh.ch/wahlen2019/medien/data/krw/listengde.json,3,1,2677,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/krw/listengde.json,www.wahlen.zh.ch/wahlen2019/medien/data/krw/listengde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Fkrw%2Flistengde.json
www.wahlen.zh.ch/wahlen2019/medien/data/krw/wahlbeteiligung.json,3,1,155,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/krw/wahlbeteiligung.json,www.wahlen.zh.ch/wahlen2019/medien/data/krw/wahlbeteiligung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Fkrw%2Fwahlbeteiligung.json
www.wahlen.zh.ch/wahlen2019/medien/data/rrw/kandidaten_gemeinden.json,3,1,1460,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/rrw/kandidaten_gemeinden.json,www.wahlen.zh.ch/wahlen2019/medien/data/rrw/kandidaten_gemeinden.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Frrw%2Fkandidaten_gemeinden.json
www.wahlen.zh.ch/03/nr/5b-Kandidatenergebnisse.pdf,2,2,2,0,http://www.wahlen.zh.ch/03/nr/5b-Kandidatenergebnisse.pdf,www.wahlen.zh.ch/03/nr/5b-Kandidatenergebnisse.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2F03%2Fnr%2F5b-Kandidatenergebnisse.pdf
www.wahlen.zh.ch/03/nr/Kand_von_Listen.xls,2,2,2,0,http://www.wahlen.zh.ch/03/nr/Kand_von_Listen.xls,www.wahlen.zh.ch/03/nr/Kand_von_Listen.xls,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2F03%2Fnr%2FKand_von_Listen.xls
www.wahlen.zh.ch/abstimmungen/gemeinden/KRW-Merkblatt-1.pdf,2,2,3,0,http://www.wahlen.zh.ch/abstimmungen/gemeinden/KRW-Merkblatt-1.pdf,www.wahlen.zh.ch/abstimmungen/gemeinden/KRW-Merkblatt-1.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fabstimmungen%2Fgemeinden%2FKRW-Merkblatt-1.pdf
